Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.329,no data,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,4.26,13.02,19.84,12.29,23.55,20.35,17.18,27.01,16.74,13.43,-0.61,2.21,-2.71,-10.16,4.79,-2.90,2.95,6.68,-29.09,1.56,19.50,,,,,,
Albania,1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.225,2.555,3.226,3.488,3.927,4.356,5.561,7.177,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.192,17.984,19.083,22.822,26.13,27.993,29.915,31.853,33.923,36.137,,14.54,3.01,1.00,-1.25,2.14,10.60,-0.81,-1.40,9.84,-20.08,-39.98,-36.76,73.31,61.60,22.07,11.03,-30.47,14.83,26.26,8.12,12.59,10.92,27.66,29.06,12.19,10.48,20.02,20.64,-6.50,-0.89,8.06,-4.46,3.73,3.61,-14.02,4.15,10.04,16.12,1.60,-1.34,18.38,6.11,19.59,14.49,7.13,6.87,6.48,6.50,6.53
Algeria,45.957,48.156,48.599,51.582,55.906,66.346,66.783,68.698,56.07,57.041,67.171,50.65,53.414,55.309,46.044,45.654,50.945,52.287,52.297,53.011,59.418,59.413,61.516,73.482,91.914,107.047,123.084,142.483,180.384,150.317,177.785,218.332,227.144,229.701,238.943,187.494,180.764,190.004,194.507,193.361,164.774,185.884,225.631,240.064,260.134,264.27,270.141,275.081,279.617,284.352,,4.78,0.92,6.14,8.38,18.67,0.66,2.87,-18.38,1.73,17.76,-24.60,5.46,3.55,-16.75,-0.85,11.59,2.63,0.02,1.37,12.09,-0.01,3.54,19.45,25.08,16.46,14.98,15.76,26.60,-16.67,18.27,22.81,4.04,1.13,4.02,-21.53,-3.59,5.11,2.37,-0.59,-14.78,12.81,21.38,6.40,8.36,1.59,2.22,1.83,1.65,1.69
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.429,1.547,1.758,2.362,2.896,3.158,3.456,3.952,4.082,3.675,3.446,3.625,3.189,3.193,3.267,2.789,2.895,2.993,3.217,3.155,2.885,3.325,3.376,3.728,3.93,4.071,4.226,4.357,4.494,4.639,,,,,,,,,,,,,,,,,,,,,,8.26,13.64,34.36,22.61,9.05,9.44,14.35,3.29,-9.97,-6.23,5.19,-12.03,0.13,2.32,-14.63,3.80,3.39,7.48,-1.93,-8.56,15.25,1.53,10.43,5.42,3.59,3.81,3.10,3.14,3.23
Angola,8.73,8.17,8.17,8.514,9.025,11.119,10.411,11.9,12.909,15.017,16.529,16.022,12.354,8.966,6.529,8.148,10.51,12.344,10.464,9.895,12.646,12.378,17.312,20.342,26.998,41.397,58.654,73.038,98.79,81.705,95.547,125.552,143.573,153.761,164.448,131.661,114.764,139.835,114.189,94.671,66.521,84.375,141.941,109.678,113.286,118.409,124.169,133.22,141.459,150.679,,-6.41,0.00,4.21,6.00,23.20,-6.37,14.30,8.48,16.33,10.07,-3.07,-22.89,-27.42,-27.18,24.80,28.99,17.45,-15.23,-5.44,27.80,-2.12,39.86,17.50,32.72,53.33,41.69,24.52,35.26,-17.29,16.94,31.40,14.35,7.10,6.95,-19.94,-12.83,21.85,-18.34,-17.09,-29.73,26.84,68.23,-22.73,3.29,4.52,4.86,7.29,6.18,6.52
Antigua and Barbuda,0.132,0.149,0.166,0.185,0.212,0.246,0.298,0.347,0.411,0.455,0.479,0.504,0.525,0.566,0.625,0.616,0.679,0.734,0.79,0.836,0.901,0.878,0.898,0.948,1.026,1.144,1.304,1.487,1.558,1.386,1.298,1.287,1.365,1.325,1.379,1.438,1.49,1.531,1.662,1.725,1.411,1.601,1.868,2.044,2.292,2.437,2.554,2.678,2.805,2.939,,12.88,11.41,11.45,14.59,16.04,21.14,16.44,18.44,10.71,5.27,5.22,4.17,7.81,10.42,-1.44,10.23,8.10,7.63,5.82,7.78,-2.55,2.28,5.57,8.23,11.50,13.99,14.03,4.77,-11.04,-6.35,-0.85,6.06,-2.93,4.08,4.28,3.62,2.75,8.56,3.79,-18.20,13.47,16.68,9.42,12.13,6.33,4.80,4.86,4.74,4.78
Argentina,233.696,189.802,94.25,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,446.762,385.218,486.04,632.318,645.511,604.382,574.201,611.292,647.758,682.87,713.896,,-18.78,-50.34,23.36,12.28,-24.47,20.25,2.53,17.13,-35.84,72.98,34.14,20.67,3.38,8.85,0.23,5.47,7.61,2.08,-5.16,0.24,-5.46,-62.57,26.65,15.78,20.84,16.87,23.63,26.27,-7.95,26.92,24.23,9.86,5.49,-7.83,13.99,-13.34,15.64,-18.55,-14.81,-13.78,26.17,30.10,2.09,-6.37,-4.99,6.46,5.97,5.42,4.54
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.619,12.642,13.879,19.514,24.086,25.251,26.578,27.418,28.941,30.929,33.203,,,,,,,,,,,,,,673.15,-22.40,98.61,24.09,2.63,15.44,-2.48,3.63,10.77,12.18,18.14,27.43,36.99,30.29,44.20,26.68,-25.84,7.08,9.52,4.70,4.73,4.40,-9.10,-0.07,9.30,8.08,9.32,-7.17,9.78,40.60,23.43,4.84,5.26,3.16,5.55,6.87,7.35
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.321,1.38,1.532,1.665,1.723,1.873,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.276,3.396,2.559,3.103,3.545,3.945,4.258,4.445,4.602,4.761,4.924,5.093,,,,,,,,,,,,,,,,,4.47,11.01,8.68,3.48,8.71,1.23,3.48,4.18,10.32,4.66,4.66,8.42,6.16,-10.17,-3.92,7.50,-0.87,4.32,2.31,6.16,0.71,3.62,5.95,3.66,-24.65,21.26,14.24,11.28,7.93,4.39,3.53,3.46,3.42,3.43
Australia,162.936,188.423,187.062,179.49,197.15,174.397,181.49,213.115,271.107,308.406,324.124,324.416,318.001,309.288,353.374,379.172,424.744,426.342,381.483,411.976,400.303,378.077,425.477,541.191,658.776,736.434,783.451,950.092,1056.574,1000.837,1254.689,1515.589,1570.323,1520.13,1457.357,1234.457,1263.667,1382.668,1419.28,1388.092,1364.828,1658.439,1724.034,1740.622,1802.006,1881.14,1965.385,2040.963,2125.575,2219.941,,15.64,-0.72,-4.05,9.84,-11.54,4.07,17.43,27.21,13.76,5.10,0.09,-1.98,-2.74,14.25,7.30,12.02,0.38,-10.52,7.99,-2.83,-5.55,12.54,27.20,21.73,11.79,6.38,21.27,11.21,-5.28,25.36,20.79,3.61,-3.20,-4.13,-15.29,2.37,9.42,2.65,-2.20,-1.68,21.51,3.96,0.96,3.53,4.39,4.48,3.85,4.15,4.44
