"Country",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.329,no data,no data,no data,no data,no data,no data,
Albania,1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.225,2.555,3.226,3.488,3.927,4.356,5.561,7.177,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.192,17.984,19.083,22.822,26.13,27.993,29.915,31.853,33.923,36.137,
Algeria,45.957,48.156,48.599,51.582,55.906,66.346,66.783,68.698,56.07,57.041,67.171,50.65,53.414,55.309,46.044,45.654,50.945,52.287,52.297,53.011,59.418,59.413,61.516,73.482,91.914,107.047,123.084,142.483,180.384,150.317,177.785,218.332,227.144,229.701,238.943,187.494,180.764,190.004,194.507,193.361,164.774,185.884,225.631,240.064,260.134,264.27,270.141,275.081,279.617,284.352,
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.429,1.547,1.758,2.362,2.896,3.158,3.456,3.952,4.082,3.675,3.446,3.625,3.189,3.193,3.267,2.789,2.895,2.993,3.217,3.155,2.885,3.325,3.376,3.728,3.93,4.071,4.226,4.357,4.494,4.639,
Angola,8.73,8.17,8.17,8.514,9.025,11.119,10.411,11.9,12.909,15.017,16.529,16.022,12.354,8.966,6.529,8.148,10.51,12.344,10.464,9.895,12.646,12.378,17.312,20.342,26.998,41.397,58.654,73.038,98.79,81.705,95.547,125.552,143.573,153.761,164.448,131.661,114.764,139.835,114.189,94.671,66.521,84.375,141.941,109.678,113.286,118.409,124.169,133.22,141.459,150.679,
Antigua and Barbuda,0.132,0.149,0.166,0.185,0.212,0.246,0.298,0.347,0.411,0.455,0.479,0.504,0.525,0.566,0.625,0.616,0.679,0.734,0.79,0.836,0.901,0.878,0.898,0.948,1.026,1.144,1.304,1.487,1.558,1.386,1.298,1.287,1.365,1.325,1.379,1.438,1.49,1.531,1.662,1.725,1.411,1.601,1.868,2.044,2.292,2.437,2.554,2.678,2.805,2.939,
Argentina,233.696,189.802,94.25,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,446.762,385.218,486.04,632.318,645.511,604.382,574.201,611.292,647.758,682.87,713.896,
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.619,12.642,13.879,19.514,24.086,25.251,26.578,27.418,28.941,30.929,33.203,
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.321,1.38,1.532,1.665,1.723,1.873,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.276,3.396,2.559,3.103,3.545,3.945,4.258,4.445,4.602,4.761,4.924,5.093,
Australia,162.936,188.423,187.062,179.49,197.15,174.397,181.49,213.115,271.107,308.406,324.124,324.416,318.001,309.288,353.374,379.172,424.744,426.342,381.483,411.976,400.303,378.077,425.477,541.191,658.776,736.434,783.451,950.092,1056.574,1000.837,1254.689,1515.589,1570.323,1520.13,1457.357,1234.457,1263.667,1382.668,1419.28,1388.092,1364.828,1658.439,1724.034,1740.622,1802.006,1881.14,1965.385,2040.963,2125.575,2219.941,
